"nodeId","id","firstName","lastName","email","carMake","carModel","vinNumber","manufacturedDate","ageOfVehicle"
"WyJ2ZWhpY2xlcyIsIjAxMzE0ZmY0LWMzMmItNGY5Yy04YTg2LWEyOWZmNTM2NzYwYyJd","01314ff4-c32b-4f9c-8a86-a29ff536760c","Elisha","Crawley","Karlovy Vary","Subaru","Legacy","1FTEW1C80FK361573","1981-11-02T00:00:00","39.44013429096905"
"WyJ2ZWhpY2xlcyIsIjA2Y2M3ZjFkLWY2MGMtNDZkZi1iZjc2LTYzZjZjMzI5ZWM3ZiJd","06cc7f1d-f60c-46df-bf76-63f6c329ec7f","Sibella","Pascoe","Oslo","Toyota","Prius","WA1CYAFE1AD809736","1982-02-16T00:00:00","39.14972342719432"
"WyJ2ZWhpY2xlcyIsIjA3OGZkMWExLWU1YTgtNDhlYy1iMTQ4LTBlZTlmNzk2ZTNhNiJd","078fd1a1-e5a8-48ec-b148-0ee9f796e3a6","Amalia","Speak","Atalhada","Toyota","Sienna","WBAGN63564D331123","1981-11-08T00:00:00","39.423695998224254"
"WyJ2ZWhpY2xlcyIsIjA4ZmZiZjUwLWE1OTgtNGM2MS1hZWM1LWJkZjA1MDcyNGUwOCJd","08ffbf50-a598-4c61-aec5-bdf050724e08","Claudina","Place","Mongar","GMC","Canyon","WAUXG74F29N668302","1982-02-10T00:00:00","39.16616175164891"
"WyJ2ZWhpY2xlcyIsIjE1MzFmNjliLTkyODQtNGUwZS04NDJkLWJkNDg1YjBkMDc5YiJd","1531f69b-9284-4e0e-842d-bd485b0d079b","Lou","Sizzey","Skorogoszcz","Bentley","Azure T","JN1BV7AP4FM610437","1982-01-09T00:00:00","39.25383301623541"
"WyJ2ZWhpY2xlcyIsIjE4YTY5MTUzLWNlOTAtNDAzYS1hMDUzLWQ5ZGRhMjFjM2M5ZiJd","18a69153-ce90-403a-a053-d9dda21c3c9f","Christiano","Bjorkan","Ban Talat Bueng","Chrysler","LHS","WAURV78T48A129930","1981-10-31T00:00:00","39.445613901572806"
"WyJ2ZWhpY2xlcyIsIjIwMTBmNDM3LThhYjYtNGIzZC05YTVlLWE5ZTlmMTc3NjY3MyJd","2010f437-8ab6-4b3d-9a5e-a9e9f1776673","Tucker","Dondon","Trollhättan","Toyota","Tacoma","1C6RD6HT1CS541362","1982-02-20T00:00:00","39.138764586504315"
"WyJ2ZWhpY2xlcyIsIjIwYjBiZWNlLWQyM2QtNDA3My04MGY2LWNmMzdhNWZmYWM2YSJd","20b0bece-d23d-4073-80f6-cf37a5ffac6a","Pepillo","Ebbings","Aldeias de Cima","Suzuki","Swift","WAUVT58E65A578063","1981-10-29T00:00:00","39.4510933536276"
"WyJ2ZWhpY2xlcyIsIjI2ZWI5YzI3LTNiMTYtNDA4Yi1iNjUwLWE0YjVhMWYwOWMxNiJd","26eb9c27-3b16-408b-b650-a4b5a1f09c16","Bendite","Addy","Klimovsk","Mercedes-Benz","300D","WAUJC58E62A986637","1981-12-26T00:00:00","39.29218914890918"
"WyJ2ZWhpY2xlcyIsIjJiZDFkMjRhLWE3NzItNDA1OS1hYThlLTUwYjUzZjYyMDRlOSJd","2bd1d24a-a772-4059-aa8e-50b53f6204e9","Raeann","Conkey","Rajhrad","Chevrolet","Caprice Classic","WDDDJ7CB3BA912080","1982-03-08T00:00:00","39.09492887493658"
